Time,MD5,Controller,Blah,Blah,condition,quantifier,prior,qudbias,item,sentence,startvalue,endvalue,rating,RT
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,14,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,2,Erin is a vet. During her last trip%2C she encountered six deer in critical condition%2C and she did the best she could to save even just one life.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,14,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,2,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,14,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,2,<b>Did any</b> of the six deer survive?,0,100,90.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,14,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,2,<b>Did any</b> of the six deer survive?,0,100,99.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,14,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,2,<b>How many</b> of the six deer survived?,0,100,75.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,14,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,2,<b>Did all</b> of the six deer survive?,0,100,50,20040
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,68,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,20,Helena is a mediocre athlete who made a resolution to win three Olympic medals this year. Her coach thought that she would be honored if she could win even a single medal.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,68,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,20,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,68,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,20,Did she win<b> any of </b>the medals?,0,100,24.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,68,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,20,<b>How many</b> of the medals did she win?,0,100,39.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,68,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,20,Did she win<b> all of </b> the medals?,0,100,18.78,29049
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,69,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,21,Julia is a straight-A student. This semester%2C she enrolled for the easiest classes. After the semester%2C her mother phoned her to find out how her daughter had performed this semester.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,69,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,21,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,69,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,21,Did Julia fail<b> all of </b> the classes?,0,100,11.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,69,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,21,Did Julia fail<b> any of </b>the classes?,0,100,62.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,69,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,21,Did Julia fail<b> any of </b>the classes?,0,100,81.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,69,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,21,Did Julia fail<b> any of </b>the classes?,0,100,72.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,69,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,21,<b>How many</b> of the classes did Julia fail?,0,100,71.78,21117
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,60,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,18,Paul lives on a sheep farm his parents bought for him%2C but plays video games all day. His parents called him to remind him that his living situation is dependent on the number of sheep he sells.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,60,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,18,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,60,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,18,<b>Have all</b> of the sheep been sold?,0,100,12.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,60,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,18,<b>Have any</b> of the sheep been sold?,0,100,71.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,60,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,18,<b>How many</b> of the sheep have been sold?,0,100,75.78,16879
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,28,0,EveryNot.All.AllBias,EveryNot,All,AllBias,7,The nursery normally changes infants' diapers before they go to nap. This afternoon%2C a health inspector wanted to make sure all of the infants had been changed before nap time.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,28,0,EveryNot.All.AllBias,EveryNot,All,AllBias,7,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,28,0,EveryNot.All.AllBias,EveryNot,All,AllBias,7,<b>How many</b> of the infants have been changed,0,100,74.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,28,0,EveryNot.All.AllBias,EveryNot,All,AllBias,7,<b>Have all</b> of the infants been changed?,0,100,71.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,28,0,EveryNot.All.AllBias,EveryNot,All,AllBias,7,<b>Have any</b> of the infants been changed?,0,100,73.44,15647
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,64,0,EveryNot.None.AllBias,EveryNot,None,AllBias,19,Bill is an average runner who tried to break five Guinness records of running. At the day of the challenge%2C he swore that he was going to get all the records under his belt.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,64,0,EveryNot.None.AllBias,EveryNot,None,AllBias,19,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,64,0,EveryNot.None.AllBias,EveryNot,None,AllBias,19,<b>How many</b> of the records were broken in the end?,0,100,67.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,64,0,EveryNot.None.AllBias,EveryNot,None,AllBias,19,<b>How many</b> of the records were broken in the end?,0,100,81.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,64,0,EveryNot.None.AllBias,EveryNot,None,AllBias,19,<b>Were all</b> of the records broken in the end?,0,100,10.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,64,0,EveryNot.None.AllBias,EveryNot,None,AllBias,19,<b>Were all</b> of the records broken in the end?,0,100,18.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,64,0,EveryNot.None.AllBias,EveryNot,None,AllBias,19,<b>Were any</b> of the records broken in the end?,0,100,83.11,16730
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,32,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,8,A glamorous cocktail event was being held in the Hilton hotel. When guests arrived%2C the receptionist wanted to see if anyone observed the dress code in the invitation.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,32,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,8,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,32,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,8,<b>Were any</b> of the guests dressed properly?,0,100,73.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,32,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,8,<b>How many</b> of the guests were dressed properly?,0,100,75.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,32,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,8,<b>Were all</b> of the guests dressed properly?,0,100,18.11,12750
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,46,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,13,Lily inherited her mom's huge book collection. When her boyfriend visited%2C he wondered if Lily had already cataloged the entire collection.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,46,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,13,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,46,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,13,<b>How many</b> of the books have been cataloged?,0,100,79.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,46,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,13,<b>Have all</b> of the books been cataloged?,0,100,21.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,46,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,13,<b>Have any</b> of the books been cataloged?,0,100,79.44,10512
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,73,0,EveryNot.None.AllBias,EveryNot,None,AllBias,22,The unsuccessful broker has made some risky investments in the stock market. He nervously stared at the monitor%2C because his house may be foreclosed unless all of his investments work out.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,73,0,EveryNot.None.AllBias,EveryNot,None,AllBias,22,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,73,0,EveryNot.None.AllBias,EveryNot,None,AllBias,22,<b>How many</b> of the investment paid off?,0,100,5.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,73,0,EveryNot.None.AllBias,EveryNot,None,AllBias,22,<b>How many</b> of the investment paid off?,0,100,11.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,73,0,EveryNot.None.AllBias,EveryNot,None,AllBias,22,<b>How many</b> of the investment paid off?,0,100,18.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,73,0,EveryNot.None.AllBias,EveryNot,None,AllBias,22,<b>How many</b> of the investment paid off?,0,100,27.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,73,0,EveryNot.None.AllBias,EveryNot,None,AllBias,22,<b>Did all</b> of the investment pay off?,0,100,67.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,73,0,EveryNot.None.AllBias,EveryNot,None,AllBias,22,<b>Did any</b> of the investment pay off?,0,100,83.11,15928
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,24,0,EveryNot.All.HowManyBias,EveryNot,All,HowManyBias,6,Eric is a professional producer working on a new album. One day%2C he called the composer  to ask about their progress in demoing the new songs.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,24,0,EveryNot.All.HowManyBias,EveryNot,All,HowManyBias,6,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,24,0,EveryNot.All.HowManyBias,EveryNot,All,HowManyBias,6,<b>Have all</b> of the new songs been demoed?,0,100,13.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,24,0,EveryNot.All.HowManyBias,EveryNot,All,HowManyBias,6,<b>Have any</b> of the new songs been demoed?,0,100,79.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,24,0,EveryNot.All.HowManyBias,EveryNot,All,HowManyBias,6,<b>How many</b> of the new songs have been demoed?,0,100,77.78,11915
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,78,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,24,Wayne is a diligent therapist who is always there for his patients. Today%2C he has a minor flu. His assistant asks how many appointments she has to cancel before he can come in.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,78,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,24,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,78,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,24,<b>Were all</b> of the appointments cancelled?,0,100,11.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,78,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,24,<b>Were all</b> of the appointments cancelled?,0,100,32.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,78,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,24,<b>Were any</b> of the appointments cancelled?,0,100,65.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,78,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,24,<b>Were any</b> of the appointments cancelled?,0,100,86.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,78,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,24,<b>Were any</b> of the appointments cancelled?,0,100,71.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,78,0,EveryNot.None.HowManyBias,EveryNot,None,HowManyBias,24,<b>How many</b> of the appointments were cancelled?,0,100,80.11,16510
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,59,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,17,Jack is an incompetent homicide detective trying to solve three recent murders. His boss tells him that the newspapers will be all over him if he fails to solve any of these murders.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,59,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,17,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,59,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,17,<b>Have any</b> of the cases been solved?,0,100,70.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,59,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,17,<b>Have any</b> of the cases been solved?,0,100,84.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,59,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,17,<b>How many</b> of the cases have been solved?,0,100,71.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,59,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,17,<b>Have all</b> of the cases been solved?,0,100,65.78,16330
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,15,0,EveryNot.All.HowManyBias,EveryNot,All,HowManyBias,3,Rachel is an industrious teaching assistant who has to grade student essays. After a week%2C her boss asks how much progress she's made so far.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,15,0,EveryNot.All.HowManyBias,EveryNot,All,HowManyBias,3,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,15,0,EveryNot.All.HowManyBias,EveryNot,All,HowManyBias,3,<b>Were all</b> of the student essays graded?,0,100,80.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,15,0,EveryNot.All.HowManyBias,EveryNot,All,HowManyBias,3,<b>Were any</b> of the student essays graded?,0,100,71.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,15,0,EveryNot.All.HowManyBias,EveryNot,All,HowManyBias,3,<b>How many</b> of the student essays were graded?,0,100,62.44,16539
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,50,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,14,Roy recently started a career as a professional gamer. A journalist interviewed him%2C and asked if he had already been invited to any of the five Major League Gaming tournaments.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,50,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,14,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,50,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,14,Has Roy been invited to<b> any of </b>the Major League Gaming tournaments?,0,100,63.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,50,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,14,Has Roy been invited to<b> any of </b>the Major League Gaming tournaments?,0,100,77.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,50,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,14,<b>How many</b> of the Major League Gaming tournaments has Roy been invited to?,0,100,71.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,50,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,14,Has Roy been invited to<b> all of </b>the Major League Gaming tournaments?,0,100,10.44,22588
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,77,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,23,The hospital has the best doctors in the country. One day%2C five patients had to be operated on for fractures in arms and legs. Afterwards%2C a news reporter asked whether any of the patients had been successfully treated.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,77,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,23,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,77,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,23,<b>Were any</b> of the operations successful?,0,100,73.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,77,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,23,<b>How many</b> of the operations were successful?,0,100,69.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,77,0,EveryNot.None.NoneBias,EveryNot,None,NoneBias,23,<b>Were all</b> of the operations successful?,0,100,59.11,17369
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,33,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,9,The teacher has just finished correcting exams. The dean wants an update because the amount of federal funds the school receives depends on the number of students who passed.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,33,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,9,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,33,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,9,<b>Did all</b> of the students pass the exam?,0,100,12.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,33,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,9,<b>Did any</b> of the students pass the exam?,0,100,83.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,33,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,9,<b>How many</b> of the students passed the exam?,0,100,74.11,12767
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,23,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,5,Paula is a dedicated store assistant. A week ago%2C five boxes of new products had arrived at the store. Her manager asked if she had begun opening the boxes.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,23,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,5,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,23,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,5,<b>Have any</b> of the boxes been opened?,0,100,75.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,23,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,5,<b>How many</b> of the boxes have been opened?,0,100,72.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,23,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,5,<b>Have all</b> of the boxes been opened?,0,100,56.78,10891
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,42,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,12,Sue and Marc went to a two-day science exhibition. On the first day%2C the organizers approached them and asked about the number of booths they had checked off the map so far.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,42,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,12,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,42,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,12,Have Sue and Marc visited<b> all of </b>the booths so far?,0,100,74.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,42,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,12,Have Sue and Marc visited<b> all of </b>the booths so far?,0,100,16.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,42,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,12,Have Sue and Marc visited<b> any of </b>the booths so far?,0,100,79.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,42,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,12,Have Sue and Marc visited<b> any of </b>the booths so far?,0,100,24.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,42,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,12,<b>How many</b> of the booths have Sue and Marc visited so far?,0,100,93.78,41522
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,10,0,EveryNot.All.AllBias,EveryNot,All,AllBias,1,The whole kindergarten was going on a field trip. The teacher jumped on the bus to see if all the children had been seated.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,10,0,EveryNot.All.AllBias,EveryNot,All,AllBias,1,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,10,0,EveryNot.All.AllBias,EveryNot,All,AllBias,1,<b>How many</b> of the kindergartners got on the bus?,0,100,6.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,10,0,EveryNot.All.AllBias,EveryNot,All,AllBias,1,<b>How many</b> of the kindergartners got on the bus?,0,100,32.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,10,0,EveryNot.All.AllBias,EveryNot,All,AllBias,1,<b>How many</b> of the kindergartners got on the bus?,0,100,57.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,10,0,EveryNot.All.AllBias,EveryNot,All,AllBias,1,<b>How many</b> of the kindergartners got on the bus?,0,100,50.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,10,0,EveryNot.All.AllBias,EveryNot,All,AllBias,1,<b>How many</b> of the kindergartners got on the bus?,0,100,57.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,10,0,EveryNot.All.AllBias,EveryNot,All,AllBias,1,<b>Did all</b> of the kindergartners get on the bus?,0,100,97.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,10,0,EveryNot.All.AllBias,EveryNot,All,AllBias,1,<b>Did any</b> of the kindergartners get on the bus?,0,100,6.44,16833
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,19,0,EveryNot.All.AllBias,EveryNot,All,AllBias,4,The couple has been planning their wedding for next month. The bride asks her future husband if he has finished writing the invitations.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,19,0,EveryNot.All.AllBias,EveryNot,All,AllBias,4,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,19,0,EveryNot.All.AllBias,EveryNot,All,AllBias,4,<b>How many</b> of the wedding invitations have been written?,0,100,67.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,19,0,EveryNot.All.AllBias,EveryNot,All,AllBias,4,<b>Have all</b> of the wedding invitations been written?,0,100,20.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,19,0,EveryNot.All.AllBias,EveryNot,All,AllBias,4,<b>Have all</b> of the wedding invitations been written?,0,100,32.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,19,0,EveryNot.All.AllBias,EveryNot,All,AllBias,4,<b>Have all</b> of the wedding invitations been written?,0,100,71.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,19,0,EveryNot.All.AllBias,EveryNot,All,AllBias,4,<b>Have any</b> of the wedding invitations been written?,0,100,10.44,15368
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,51,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,15,Barney has been submitting recipes to a famous cooking website for some time now. His partner asked how successful his submissions had been.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,51,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,15,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,51,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,15,<b>Have all</b> of Barney's submissions been published?,0,100,77.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,51,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,15,<b>Have all</b> of Barney's submissions been published?,0,100,25.11,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,51,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,15,<b>Have any</b> of Barney's submissions been published?,0,100,94.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,51,0,EveryNot.Some.HowManyBias,EveryNot,Some,HowManyBias,15,<b>How many</b> of Barney's submissions have been published?,0,100,86.78,30433
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,55,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,16,A tech start-up is facing some financial issues. During an HR meeting%2C the board debated whether they had to lay off all of their employees.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,55,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,16,How relevant are the following questions for the story?,0,100,-1,
