"item" "qudbias" "prior" "none" "all" "some"
"34" 12 "AllBias" "Some" 0.269656070239225 0.242519401581453 0.928571428571429
"35" 20 "AllBias" "None" 0.8125 0.137674416932801 0.571308102121303
"36" 5 "AllBias" "All" 0.0242309647896276 0.862575506972491 0.63174813980211
"37" 22 "AllBias" "None" 0.537534801349775 0.209010941277304 0.764829893293529
"38" 16 "AllBias" "Some" 0.325684036890461 0.32682898910989 0.930800636634143
"39" 15 "AllBias" "Some" 0.537969907489702 0.164355268151953 0.918444073797661
"40" 21 "AllBias" "None" 0.928571428571429 0.190237895044221 0.296239446301519
"41" 23 "AllBias" "None" 0.0307647618041618 0.904030173418313 0.53722858673288
"42" 14 "AllBias" "Some" 0.630859375 0.270887915292854 0.686306776728598
"43" 17 "AllBias" "None" 0.454885030539697 0.166660407209952 0.88238513783496
"44" 9 "AllBias" "Some" 0.0750915750915751 0.405320603775638 0.907816326530612
"45" 24 "AllBias" "None" 0.189730634594337 0.669444418818374 0.606370299152003
"46" 18 "AllBias" "None" 0.370418748272573 0.659897547569869 0.444292148008968
"47" 1 "AllBias" "All" 0.166898508598913 0.832539365828687 0.69073027051512
"48" 3 "AllBias" "All" 0.0714285714285714 0.801958335751681 0.614285957955625
"49" 7 "HowManyBias" "All" 0.125081510023392 0.89729484682074 0.393814140310812
"50" 10 "HowManyBias" "Some" 0.179071925637707 0.306897868507077 0.879283088235294
"51" 4 "HowManyBias" "All" 0.154450448623755 0.573165828848864 0.771111740694109
"52" 2 "HowManyBias" "All" 0.277886075604499 0.218729225488212 1
"53" 6 "HowManyBias" "All" 0.113941235462016 0.485957273164455 0.933136225646269
"54" 11 "HowManyBias" "Some" 0.118773656909843 0.452451330570902 0.97488741189667
"55" 8 "HowManyBias" "All" 0.0901390007101935 0.731129173491486 0.747765251759285
"56" 13 "HowManyBias" "Some" 0.589826092938709 0.246358813577366 0.669360269360269
"57" 19 "HowManyBias" "None" 0.730729223906321 0.22587410562461 0.499137280549252
"58" 12 "HowManyBias" "Some" 0.225792945146078 0.361341692004641 0.850090917791176
"59" 20 "HowManyBias" "None" 0.736617909403 0.105081036302821 0.66254899649242
"60" 5 "HowManyBias" "All" 0.108082914659886 0.877418821416479 0.567190739057936
"61" 22 "HowManyBias" "None" 0.534356116950538 0.0686860067113362 0.828046543373621
"62" 16 "HowManyBias" "Some" 0.1755212969215 0.19114561125462 1
"63" 15 "HowManyBias" "Some" 0.464854032488661 0.253820716944823 0.859638292222573
"64" 21 "HowManyBias" "None" 0.952380952380952 0.168478645114901 0.174932376112585
"65" 23 "HowManyBias" "None" 0.0497854070994679 0.859205230040326 0.638858158009087
"66" 14 "HowManyBias" "Some" 0.522049524120767 0.169025929232233 0.880060370543628
"67" 17 "HowManyBias" "None" 0.613392925746444 0.14577301934527 0.703062628689287
"68" 9 "HowManyBias" "Some" 0.135555339175226 0.553057369153789 0.781357643058362
"69" 24 "HowManyBias" "None" 0.17799448213635 0.578440656254361 0.848356144732629
"70" 18 "HowManyBias" "None" 0.528977595556684 0.332882420008817 0.65850653712696
"71" 1 "HowManyBias" "All" 0.0891591456187975 0.810839603867508 0.582764473751887
"72" 3 "HowManyBias" "All" 0.165411972598449 0.889188741124915 0.584263438149184
