"item" "qudbias" "prior" "none" "all" "many"
"37" 24 "AllBias" "None" 0.72648119567367 0.682077499827002 0.191080957734965
"38" 17 "AllBias" "None" 0.699134218652509 0.299845121343634 0.515949925200199
"39" 3 "AllBias" "All" 0.300298815355458 0.7335 0.477033148628942
"40" 14 "AllBias" "Some" 0.549673338894086 0.568161771912058 0.413033431981503
"41" 23 "AllBias" "None" 0.330819169445011 0.618390601725812 0.684817244500014
"42" 9 "AllBias" "Some" 0.101071466838101 0.85344241909481 0.612411464230365
"43" 5 "AllBias" "All" 0.66527018438651 0.439348449673459 0.498670978111089
"44" 12 "AllBias" "Some" 0.384528904801092 0.63755791618185 0.52795365974652
"45" 1 "AllBias" "All" 0.144896528047372 0.860522681565392 0.438466950830363
"46" 4 "AllBias" "All" 0.287590863252661 0.722704338914252 0.519700549172681
"47" 15 "AllBias" "Some" 0.460752021766865 0.7 0.392934265786978
"48" 16 "AllBias" "Some" 0.413100394156343 0.624740142316229 0.560802674336177
"49" 11 "HowManyBias" "Some" 0.37972461609596 0.259963658729419 0.931983198319832
"50" 10 "HowManyBias" "Some" 0.377858208847201 0.341771447588606 0.759786696285525
"51" 2 "HowManyBias" "All" 0.451856032844167 0.227177177177177 0.755832119067233
"52" 20 "HowManyBias" "None" 1 0.00252508902557462 0.431607343136361
"53" 21 "HowManyBias" "None" 0.920422811162084 0.068001274996723 0.455769365254025
"54" 18 "HowManyBias" "None" 0.759253894147894 0.122835354570927 0.871995164939413
"55" 7 "HowManyBias" "All" 0.228378556215231 0.70521568627451 0.55735114349005
"56" 19 "HowManyBias" "None" 0.537169876805848 0.349982581995813 0.730140604315165
"57" 8 "HowManyBias" "All" 0.127760510410175 0.324799147057821 1
"58" 13 "HowManyBias" "Some" 0.31574481465561 0.319853642661314 0.933452609593056
"59" 22 "HowManyBias" "None" 0.694711197859537 0.0388998210351459 0.92038200307389
"60" 6 "HowManyBias" "All" 0.606385293644125 0.139704910651333 0.758978791928875
"61" 24 "HowManyBias" "None" 0.62738884909257 0.134702264743034 0.753935632402916
"62" 17 "HowManyBias" "None" 0.717648899162484 0.178861649237099 0.73594588833954
"63" 3 "HowManyBias" "All" 0.355055047038052 0.467776272995114 0.732480818287576
"64" 14 "HowManyBias" "Some" 0.577331144579838 0.0428467741935484 0.776426809855369
"65" 23 "HowManyBias" "None" 0.100365591397849 0.53403003373432 0.827252747252747
"66" 9 "HowManyBias" "Some" 0.216056048634665 0.350955241530879 0.915264059794542
"67" 5 "HowManyBias" "All" 0.284887191612831 0.188634522192383 1
"68" 12 "HowManyBias" "Some" 0.382196550497405 0.140047202265947 0.949646415943427
"69" 1 "HowManyBias" "All" 0.0310201145496971 0.866699220893125 0.756621024523198
"70" 4 "HowManyBias" "All" 0.264733874763537 0.421899158579823 0.820239920663346
"71" 15 "HowManyBias" "Some" 0.815131908611517 0.112809242678272 0.671635689878282
"72" 16 "HowManyBias" "Some" 0.56235573802188 0.266666666666667 0.766544208015548
